Index,Model,Features,Countantom-avg,Countantom-med,Countantom-stdev,Ganak-avg,Ganak-med,Ganak-stdev,Sharpsat-avg,Sharpsat-med,Sharpsat-stdev,C2d-avg,C2d-med,C2d-stdev,D4-avg,D4-med,D4-stdev,D4new-avg,D4new-med,D4new-stdev,Dsharp-avg,Dsharp-med,Dsharp-stdev
41,cnf/Smarch/m5272c3.dimacs,1323,0.864657254720805,0.86372161694453,0.034011667496427,5.22922169955796,5.22641261768877,0.262184355949128,3.21218123314786,3.21218123314786,0.123282702254929,6.75768878321163,6.66895335051231,1.32395355097043,8.39603930303827,8.38673568610102,0.115552438180763,8.62574545126408,8.6237857080996,0.028229352319087,91.7304406235274,89.4543054068927,9.37019934808191
42,cnf/Smarch/phycore229x.dimacs,1360,1.10252414682647,1.10712658896228,0.047359880008824,7.10720042527304,7.13321398204426,0.349835456242708,3.61768846950261,3.61768846950261,0.17766085145994,7.23961738199927,6.81010785559192,1.84908688942389,14.3653996845242,14.2055525272153,0.505353214667049,14.1662391335517,14.155416530557,0.070341101297521,104.020913001448,102.751731686294,10.2555957225709
43,cnf/Smarch/freebsd-icse11.dimacs,1396,3.83596011220245,3.84749164865934,0.166309851613465,50.9990768446052,51.1371053615585,1.49139347730405,46.4202613315417,46.4202613315417,1.62802950738104,1800,1800,0,561.074635486212,561.522361990064,33.2183579502712,22.3365422930941,22.3230334958062,0.062386017635413,428.974047727799,427.883126265369,21.5847283500668
44,cnf/CDL/ea2468.dimacs,1408,1.54380694145453,1.55285448755604,0.057966136339581,3.84907251622411,3.86468743544537,0.203991763236304,2.52953749471111,2.52953749471111,0.0407091332074,7.15464048581198,6.72782209538855,1.74839470972516,8.19424897833727,8.17887705308385,0.127744584124266,16.4334889015183,16.4302522866055,0.044794890699895,34.987242317833,35.0334197906777,0.156615483600925
45,cnf/KConfig/uClinux-distribution.dimacs,1580,0.372034074887633,0.374145676614717,0.022203135069267,0.012363091083244,0.012039096094668,0.001920647823299,0.013386955313618,0.013386955313618,0.001971456925382,5.25936735986732,5.26918737590313,0.043255480210236,0.039721693554893,0.040605871006847,0.004242153165912,0.06647408220917,0.067489545792341,0.002255921219081,0.072615876784548,0.06805422459729,0.011780681300606
46,cnf/Smarch/fiasco.dimacs,1638,0.135965606971877,0.135991035960615,0.012351461286299,0.024239559002454,0.024386310164119,0.00306168027348,0.026145402325783,0.026145402325783,0.003143081767396,8.1796815623343,8.20258505106904,0.794352103286768,0.074735169531778,0.076888982672244,0.007045025784514,0.094722473099828,0.09026347566396,0.012956751956202,0.108566157016903,0.110625633504242,0.011702794253831
47,cnf/confidential/automotive05/05latest.dimacs,1663,300,300,0,300,300,0,300,300,0,1800,1800,0,1800,1800,0,1800,1800,0,1800,1800,0
48,cnf/Smarch/uClinux.dimacs,1850,0.082839411991881,0.080174336442724,0.009821017893438,0.011554170980817,0.011267144931481,0.002320100462252,0.01080198378535,0.01080198378535,0.001576289788252,6.02236805462279,6.02671204670332,0.027682262090554,0.027443895339966,0.027918917592615,0.004288743405265,0.041517776437104,0.041000448167324,0.004142649670799,0.076906725019217,0.077290806686506,0.009254364627277
49,cnf/automotive01/automotive01.dimacs,2513,0.353728466904722,0.362003867019666,0.022307356766557,0.41671610334306,0.426971546577988,0.021709925793193,0.271482603803743,0.271482603803743,0.017380850834717,21.1950300625805,21.3848347098101,1.98572503034183,0.393622381035238,0.381066204514354,0.034068310679685,0.592926214113832,0.592864203266799,0.011950449354204,1.89313581939787,1.89417422469705,0.021952441562168
50,cnf/confidential/automotive03/automotive03_sw.dimacs,4902,0.510894833214115,0.522394258383429,0.024749116634314,0.04437824258348,0.044756831601262,0.002383613796393,0.043251962764189,0.043251962764189,0.00244659012908,5.55001554196701,5.57031447184272,0.673366321656353,0.097310262760148,0.09375361003913,0.012420856972942,0.087448147237301,0.088152118958533,0.002068177969062,0.318220692854375,0.313165023224428,0.01712577558035
